Chris Mona Denise,,,,
Item,Quantity,Description,Alternates (blank = equivalent),initials (blank = group)
#snacks,,,,
Sugar Free Pudding,3 of 4 packs,Chocolate or vanilla,,M
Dark Chocolate Bar,2,Dark Chocolate,"Doesn't matter the brand, cheapest",M
Oreo ,1 pack,,,
#misc,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#condiments,,,,
Honey,I bottle,,,D
Cayenne Pepper,1 bottle,,,
Garlic Chili Paste,1 bottle,,,
,,,,
,,,,
,,,,
#produce,,,,
asparagus,4 servings,,,
Yello Onion,3,,,
Red Onion,1,,,
babby potatoes,1 sack,,,
Zucchini,1,,,
Bell Pepper,8,Multi color,8 bell pepper of whichever color,
Korean Squash,1,Galleria,,
Tofu,2 boxes,Galleria,,
cabbage,1 head,,,
Kimchi,1 Medium Jug,Galleria,,
Enoki Mushroom,1 pack,Galleria,,
Mushroom,1 pack,white/whole,,
green beans,1 bag,fresh,2 cans,
Stir-fry,1 bag,Premade Stir-fry veggie bag,handful of snowpeas; ,
sweet potatoes,2,any color,,
cilantro,1 bushel,,,
habenero,4,,jalepeno x 5,
,,,,
#frozen,,,,
Drumsticks,Large Box,Chocolate,1 small chocolate and 1 mixed,
Frozen fruit,2 Bags,mixed fruit; NO BERRIES,,DM
Dinosaur Nuggets,Large Box,Dino kind,No Sub,CM
Sweet Portato Fries,1 bag,2 fresh sweet potatoes; orange,,
,,,,
,,,,
#Grain,,,,
Slivered Almonds ,2 oz,,,D
Lasagna Noodles,1 Box <8.75oz>,,,
Rice ,1 medium bag,"white rice, cheapest",,
,,,,
,,,,
,,,,
#baking,,,,
Panko Bread Crumb,1 Box,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#dairy,,,,
Low Fat Cottage Cheese,1 medium container,,,D & M
Nonfat Greek Yogurt,,Smoothies,,D & M
Shaved parmesan,,,,D
Shredded Mozerella,1 large bag,,1 medium bag,
Milk 2%,1 gallon,,,
Eggs,1 dozen,,,
Fairlife Milk 2%,1 Gallon,,,
#meat,,,,
Pork Belly,4 lbs,,,
chicken thighs,8 thighs,,,
Pork Belly thin slice,4 lbs,,,
Bulgolgi,1 box,,,
Brisket ,3 lbs,,Other thinly sliced meat,
turkey bacon,1 bag,,,c
Corned Beef,,,,
#Canned,,,,
Spam,1 pack,Low sodium,,
New England Clam Chowder,4 cans,,,
,,,,
,,,,
,,,,
,,,,
#Drinks,,,,
Seltzer Water,24,,veriety is the spice of life,CM
Diet Dr Pepper,24,,more of other sodas if unavailible,CM
Diet Coke,24,,more of other sodas if unavailible,CM
Coke 0,24,,more of other sodas if unavailible,CM
Caffeine free coke zero,24,,,D
,,,,
#Boos,,,,
Exotic IPAs,36,,cans preferably,C
New Castle,12,,can or bottle,C
Smirnoff Ice,6,,,M