Nancy,,,,
Item,Quantity,Description,Alternates (blank = equivalent),initials (blank = group)
#snacks,,,,
sugar free pudding ,4 pack,van & choc,,NS
piece of fudge,2 inch square,,brownie,NS
Sugar Free cookies,2 bags,Variety,,NS
,,,,
,,,,
#misc,,,,
Walnuts,1 bag 2oz to 6oz,whole ,Pieces if not,NS
vanilla protein shakes,1 multi pack,,,NS
,,,,
,,,,
,,,,
,,,,
#condiments,,,,
Hot fudge sauce,1 jar,,Prefer Mrs Richardson's if possible,NS
Vegetable oil,regular size bottle,,,
,,,,
,,,,
,,,Not canola,NS
,,,,
#produce,,,,
Celery,1 bunch,,,
Broccoli ,2 heads,Fresh,,NS
pears,2,,,NS
gala apples,3,,,NS
Nectarines,3,,,NS
,,,,
#frozen,,,,
sugar free vanilla ice cream,,,,NS
,,,,
,,,,
,,,,
,,,,
,,,,
#Grain,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#baking,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#dairy,,,,
sugar free yogurt,2 4 packs,Variety,Low carb/fat,N
,,,,
,,,,
,,,,
,,,,
,,,,
#meat,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#Canned,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#Drinks,,,,
Diet Sodas,24 cans,,,NS
,,,,
,,,,
,,,,
,,,,
,,,,
#Boos,,,,