Day,Dish,Chef,Sous Chef,Date
Friday,Crispy Cilantro Lime Chicken Thighs,Denise,,7/31/2020
Saturday,Takeout,Denise,Mona,8/1/2020
Sunday,Paella,Bre,Eric,8/2/2020
Monday,Asian Grilled Flank steak,Chris,,8/3/2020
Tuesday,Grilled Pineapple Chimichurri,Mona,,8/4/2020
Wednesday,Chicken and Waffles,Chris,Mona,8/5/2020
,,,,
Thursday,Ham Pineapple Rice,Chris,Mona,8/6/2020
Friday,Braughts,Eric,Jesse,8/7/2020
Saturday,Chicken Marsala,Denise,,8/8/2020
Sunday,Fried Chicken Breast,Chris,,8/9/2020
Monday,Hot Pot,Mona,Chris,8/10/2020
Tuesday,CordonBlu ,Chris,,8/11/2020
Wednesday,Pork Chops,Chris,,8/12/2020
Thursday,Curry,Mona,,8/13/2020