Family,,,,,
Item,Quantity,Description,Alternates (blank = equivalent),initials (blank = F),Meal
#snacks,,,,,
,,,,,
,,,,,
#misc,,,,,
Dawn dish soap,Large bottle,,,,
Low sodium chicken broth ,8 cups ,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#condiments,,,,,
Low Sodium Soy Sauce,1,Large bottle,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#produce,,,,,
Red bell pepper ,1,,,,
Red bell pepper ,1,,,,
Yellow onion ,1,,,,
Lemon Juice,1 bottle,,,,
,,,,,
,,,,,
#frozen,,,,,
Frozen jumbo shrimp ,1 Bag ,2 lb,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#Grain,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#baking,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#dairy,,,,,
butter,multi pack,salted,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#meat,,,,,
Chicken leg + thigh meat ,2 Lbs ,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#Canned,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#Drinks,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#Boos,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#spices,,,,,
paprika ,biggest,not smoked,,,